"keys","pt","en","es","fr","de","it","ru","ja","zh"
"Encomenda Dourada","Encomenda Dourada","Golden Package","Paquete dorado","Colis doré","Goldenes Paket","Pacco Dorato","Золотая посылка","ゴールデン荷物","黄金包裹"
"Próxima entrega ×10!","Próxima entrega ×10!","Next delivery ×10!","¡Próxima entrega ×10!","Prochaine livraison ×10 !","Nächste Lieferung ×10!","Prossima consegna ×10!","Следующая доставка ×10!","次の配達 ×10！","下次送达×10！"
"Tempestade","Tempestade","Storm","Tormenta","Tempête","Sturm","Tempesta","Буря","嵐","风暴"
"Velocidade ÷2, Ganhos ×3!","Velocidade ÷2, Ganhos ×3!","Speed ÷2, Earnings ×3!","¡Velocidad ÷2, Ganancias ×3!","Vitesse ÷2, Gains ×3 !","Tempo ÷2, Verdienst ×3!","Velocità ÷2, Guadagni ×3!","Скорость ÷2, заработок ×3!","速度 ÷2、獲得 ×3！","速度÷2，收益×3！"
"Festival da Cidade","Festival da Cidade","City Festival","Festival de la ciudad","Festival de la ville","Stadtfest","Festival della Città","Городской фестиваль","シティフェスティバル","城市节庆"
"Ganhos ×2.5 por 8 min!","Ganhos ×2.5 por 8 min!","Earnings ×2.5 for 8 min!","¡Ganancias ×2.5 durante 8 min!","Gains ×2.5 pendant 8 min !","Verdienst ×2,5 für 8 Min!","Guadagni ×2.5 per 8 min!","Заработок ×2.5 на 8 мин!","獲得 ×2.5 を8分間！","收益×2.5 持续8分钟！"
"Pacote VIP","Pacote VIP","VIP Package","Paquete VIP","Pack VIP","VIP-Paket","Pacchetto VIP","VIP-посылка","VIPパッケージ","VIP 礼包"
"Próxima entrega ×25!","Próxima entrega ×25!","Next delivery ×25!","¡Próxima entrega ×25!","Prochaine livraison ×25 !","Nächste Lieferung ×25!","Prossima consegna ×25!","Следующая доставка ×25!","次の配達 ×25！","下次送达×25！"
"Chuva de Lucros","Chuva de Lucros","Profit Rain","Lluvia de ganancias","Pluie de profits","Gewinnregen","Pioggia di Profitti","Дождь из прибыли","利益の雨","利润雨"
"Ganhos ×8 durante 3 min! RARO!","Ganhos ×8 durante 3 min! RARO!","Earnings ×8 for 3 min! RARE!","¡Ganancias ×8 durante 3 min! ¡RARO!","Gains ×8 pendant 3 min ! RARE !","Verdienst ×8 für 3 Min! SELTEN!","Guadagni ×8 per 3 min! RARO!","Заработок ×8 на 3 мин! РЕДКО!","獲得 ×8 を3分間！レア！","收益×8 持续3分钟！稀有！"
"Tech Drone","Tech Drone","Drone Tech","Tech Drone","Tech Drone","Drohnen-Tech","Drone Tech","Дрон-техника","ドローンテック","无人机科技"
"Velocidade ×1.5, Ganhos ×1.5!","Velocidade ×1.5, Ganhos ×1.5!","Speed ×1.5, Earnings ×1.5!","¡Velocidad ×1.5, Ganancias ×1.5!","Vitesse ×1.5, Gains ×1.5 !","Tempo ×1,5, Verdienst ×1,5!","Velocità ×1.5, Guadagni ×1.5!","Скорость ×1.5, заработок ×1.5!","速度 ×1.5、獲得 ×1.5！","速度×1.5，收益×1.5！"
"Black Friday","Black Friday","Black Friday","Black Friday","Black Friday","Black Friday","Black Friday","Чёрная пятница","ブラックフライデー","黑色星期五"
"Ganhos ×6 por 5 min!","Ganhos ×6 por 5 min!","Earnings ×6 for 5 min!","¡Ganancias ×6 durante 5 min!","Gains ×6 pendant 5 min !","Verdienst ×6 für 5 Min!","Guadagni ×6 per 5 min!","Заработок ×6 на 5 мин!","獲得 ×6 を5分間！","收益×6 持续5分钟！"
"Missão Blitz","Missão Blitz","Blitz Mission","Misión Blitz","Mission Blitz","Blitz-Mission","Missione Blitz","Блиц-задание","ブリッツミッション","闪电任务"
"Próxima entrega ×20!","Próxima entrega ×20!","Next delivery ×20!","¡Próxima entrega ×20!","Prochaine livraison ×20 !","Nächste Lieferung ×20!","Prossima consegna ×20!","Следующая доставка ×20!","次の配達 ×20！","下次送达×20！"
"+15 🌐 Influência","+15 🌐 Influência","+15 🌐 Influence","+15 🌐 Influencia","+15 🌐 Influence","+15 🌐 Einfluss","+15 🌐 Influenza","+15 🌐 влияния","+15 🌐 影響力","+15 🌐 影响力"
"+25 Influência + 25 💎","+25 Influência + 25 💎","+25 Influence + 25 💎","+25 Influencia + 25 💎","+25 Influence + 25 💎","+25 Einfluss + 25 💎","+25 Influenza + 25 💎","+25 влияния + 25 💎","+25 影響力 + 25 💎","+25 影响力 + 25 💎"
"Desafio Semanal: entrega %d pacotes","Desafio Semanal: entrega %d pacotes","Weekly Challenge: deliver %d packages","Desafío semanal: entrega %d paquetes","Défi hebdomadaire : livrez %d colis","Wochen-Challenge: liefere %d Pakete","Sfida Settimanale: consegna %d pacchi","Еженедельный вызов: доставь %d посылок","ウィークリーチャレンジ：%d 個の荷物を配達","每周挑战：送达 %d 个包裹"
"Entrega %d pacotes","Entrega %d pacotes","Deliver %d packages","Entrega %d paquetes","Livrez %d colis","Liefere %d Pakete","Consegna %d pacchi","Доставь %d посылок","%d 個の荷物を配達","送达 %d 个包裹"
"Ganha %s créditos","Ganha %s créditos","Earn %s credits","Gana %s créditos","Gagnez %s crédits","Verdiene %s Credits","Guadagna %s crediti","Заработай %s кредитов","%s クレジットを獲得","赚取 %s 信用点"
"Tem %d drones na frota","Tem %d drones na frota","Have %d drones in your fleet","Ten %d drones en tu flota","Avoir %d drones dans votre flotte","Habe %d Drohnen in der Flotte","Possiedi %d droni nella flotta","Имей %d дронов во флоте","艦隊にドローン %d 機を保有","机队拥有 %d 架无人机"
"Atinge combo de %d entregas","Atinge combo de %d entregas","Reach a %d-delivery combo","Alcanza un combo de %d entregas","Atteignez un combo de %d livraisons","Erreiche eine %d-Combo","Raggiungi un combo di %d consegne","Достигни комбо из %d доставок","%d 配達のコンボを達成","达成 %d 次送达连击"
"Ganha 1K créditos","Ganha 1K créditos","Earn 1K credits","Gana 1K créditos","Gagnez 1K crédits","Verdiene 1K Credits","Guadagna 1K crediti","Заработай 1K кредитов","1K クレジットを獲得","赚取 1K 信用点"
"Marco ×%d · próx. Nv %d","Marco ×%d · próx. Nv %d","Milestone ×%d · next Lv %d","Hito ×%d · próx. Nv %d","Cap ×%d · proch. Nv %d","Meilenstein ×%d · nächst. Stufe %d","Traguardo ×%d · pross. Liv %d","Рубеж ×%d · след. ур. %d","マイルストーン ×%d · 次 Lv %d","里程碑 ×%d · 下一个 Lv %d"
"Marco ×2 ao Nv %d","Marco ×2 ao Nv %d","Milestone ×2 at Lv %d","Hito ×2 al Nv %d","Cap ×2 au Nv %d","Meilenstein ×2 bei Stufe %d","Traguardo ×2 al Liv %d","Рубеж ×2 на ур. %d","Lv %d でマイルストーン ×2","Lv %d 时里程碑 ×2"
"MARCO! %s ×2!","MARCO! %s ×2!","MILESTONE! %s ×2!","¡HITO! ¡%s ×2!","CAP ! %s ×2 !","MEILENSTEIN! %s ×2!","TRAGUARDO! %s ×2!","РУБЕЖ! %s ×2!","マイルストーン！%s ×2！","里程碑！%s ×2！"
"Drone Bónus!","Drone Bónus!","Bonus Drone!","¡Drone extra!","Drone bonus !","Bonus-Drohne!","Drone Bonus!","Бонусный дрон!","ボーナスドローン！","奖励无人机！"
"Apanhaste um drone de carga dourado.
Escolhe a tua recompensa:","Apanhaste um drone de carga dourado.
Escolhe a tua recompensa:","You caught a golden cargo drone.
Choose your reward:","Has atrapado un drone de carga dorado.
Elige tu recompensa:","Vous avez attrapé un drone de charge doré.
Choisissez votre récompense :","Du hast eine goldene Frachtdrohne gefangen.
Wähle deine Belohnung:","Hai preso un drone di carico dorato.
Scegli la tua ricompensa:","Ты поймал золотой грузовой дрон.
Выбери свою награду:","金色の輸送ドローンをキャッチ。
報酬を選択：","你抓到一架黄金货运无人机。
选择你的奖励："
"Receber: +3 min de lucros","Receber: +3 min de lucros","Claim: +3 min of profits","Recibir: +3 min de ganancias","Récolter : +3 min de profits","Holen: +3 Min Gewinn","Riscuoti: +3 min di profitti","Забрать: +3 мин прибыли","受け取る：+3分の利益","领取：+3分钟利润"
"+3 min de lucros!","+3 min de lucros!","+3 min of profits!","¡+3 min de ganancias!","+3 min de profits !","+3 Min Gewinn!","+3 min di profitti!","+3 мин прибыли!","+3分の利益！","+3分钟利润！"
"Lucros ×2 durante 10 min","Lucros ×2 durante 10 min","Profits ×2 for 10 min","Ganancias ×2 durante 10 min","Profits ×2 pendant 10 min","Gewinn ×2 für 10 Min","Profitti ×2 per 10 min","Прибыль ×2 на 10 мин","利益 ×2 を10分間","利润×2 持续10分钟"
"Lucros ×2 durante 10 min!","Lucros ×2 durante 10 min!","Profits ×2 for 10 min!","¡Ganancias ×2 durante 10 min!","Profits ×2 pendant 10 min !","Gewinn ×2 für 10 Min!","Profitti ×2 per 10 min!","Прибыль ×2 на 10 мин!","利益 ×2 を10分間！","利润×2 持续10分钟！"
"+20 min de lucros imediatos","+20 min de lucros imediatos","+20 min of instant profits","+20 min de ganancias al instante","+20 min de profits immédiats","+20 Min Sofort-Gewinn","+20 min di profitti immediati","+20 мин мгновенной прибыли","+20分の利益を即座に","+20分钟即时利润"
"+20 min de lucros!","+20 min de lucros!","+20 min of profits!","¡+20 min de ganancias!","+20 min de profits !","+20 Min Gewinn!","+20 min di profitti!","+20 мин прибыли!","+20分の利益！","+20分钟利润！"
"+40 Gemas","+40 Gemas","+40 Gems","+40 Gemas","+40 Gemmes","+40 Edelsteine","+40 Gemme","+40 гемов","+40 ジェム","+40 宝石"
"+40 Gemas!","+40 Gemas!","+40 Gems!","¡+40 Gemas!","+40 Gemmes !","+40 Edelsteine!","+40 Gemme!","+40 гемов!","+40 ジェム！","+40 宝石！"
"Hangar de Skins","Hangar de Skins","Skin Hangar","Hangar de skins","Hangar de skins","Skin-Hangar","Hangar delle Skin","Ангар скинов","スキン格納庫","涂装机库"
"Skins permanentes para a tua frota. Cada skin extra dá +2% de lucros.","Skins permanentes para a tua frota. Cada skin extra dá +2% de lucros.","Permanent skins for your fleet. Each extra skin grants +2% profits.","Skins permanentes para tu flota. Cada skin extra da +2% de ganancias.","Skins permanents pour votre flotte. Chaque skin en plus donne +2% de profits.","Dauerhafte Skins für deine Flotte. Jede Extra-Skin gibt +2% Gewinn.","Skin permanenti per la tua flotta. Ogni skin extra dà +2% di profitti.","Постоянные скины для флота. Каждый доп. скин даёт +2% к прибыли.","艦隊の永続スキン。スキン1つ追加ごとに利益 +2%。","为你的机队提供永久涂装。每款额外涂装 +2% 利润。"
"Frota Clássica","Frota Clássica","Classic Fleet","Flota clásica","Flotte classique","Klassische Flotte","Flotta Classica","Классический флот","クラシック艦隊","经典机队"
"O visual original da frota.","O visual original da frota.","The fleet's original look.","El aspecto original de la flota.","L'apparence originale de la flotte.","Der Original-Look der Flotte.","L'aspetto originale della flotta.","Изначальный вид флота.","艦隊のオリジナルの外観。","机队的原始外观。"
"Frota Solar","Frota Solar","Solar Fleet","Flota solar","Flotte solaire","Solar-Flotte","Flotta Solare","Солнечный флот","ソーラー艦隊","太阳机队"
"Dourado radiante com rasto âmbar.","Dourado radiante com rasto âmbar.","Radiant gold with an amber trail.","Dorado radiante con estela ámbar.","Or radieux avec une traînée ambre.","Strahlendes Gold mit Bernstein-Spur.","Oro radiante con scia ambra.","Сияющее золото с янтарным следом.","琥珀色の軌跡を放つ輝くゴールド。","灿烂金色，琥珀色尾迹。"
"Frota Néon","Frota Néon","Neon Fleet","Flota neón","Flotte Néon","Neon-Flotte","Flotta Neon","Неоновый флот","ネオン艦隊","霓虹机队"
"Rosa elétrico com rasto magenta.","Rosa elétrico com rasto magenta.","Electric pink with a magenta trail.","Rosa eléctrico con estela magenta.","Rose électrique avec une traînée magenta.","Elektrisches Pink mit Magenta-Spur.","Rosa elettrico con scia magenta.","Электрик-розовый с пурпурным следом.","マゼンタの軌跡のエレクトリックピンク。","电光粉红，品红色尾迹。"
"Frota Sombra","Frota Sombra","Shadow Fleet","Flota sombra","Flotte Ombre","Schatten-Flotte","Flotta Ombra","Теневой флот","シャドウ艦隊","暗影机队"
"Fuselagem escura com rasto vermelho.","Fuselagem escura com rasto vermelho.","Dark hull with a red trail.","Fuselaje oscuro con estela roja.","Fuselage sombre avec une traînée rouge.","Dunkler Rumpf mit roter Spur.","Fusoliera scura con scia rossa.","Тёмный корпус с красным следом.","赤い軌跡のダークな機体。","暗色机身，红色尾迹。"
"Frota Aurora","Frota Aurora","Aurora Fleet","Flota aurora","Flotte Aurore","Aurora-Flotte","Flotta Aurora","Флот Аврора","オーロラ艦隊","极光机队"
"Verde-ciano boreal. A elite do céu.","Verde-ciano boreal. A elite do céu.","Boreal cyan-green. The sky's elite.","Verde-cian boreal. La élite del cielo.","Vert-cyan boréal. L'élite du ciel.","Boreales Cyan-Grün. Die Elite des Himmels.","Verde-ciano boreale. L'élite del cielo.","Северный циан-зелёный. Элита неба.","北方のシアングリーン。空の精鋭。","极地青绿。天空的精英。"
"Skin ativa: %s","Skin ativa: %s","Active skin: %s","Skin activa: %s","Skin active : %s","Aktive Skin: %s","Skin attiva: %s","Активный скин: %s","使用中スキン：%s","当前涂装：%s"
"Nova skin: %s!","Nova skin: %s!","New skin: %s!","¡Nueva skin: %s!","Nouvelle skin : %s !","Neue Skin: %s!","Nuova skin: %s!","Новый скин: %s!","新スキン：%s！","新涂装：%s！"
"Ativa","Ativa","Active","Activa","Active","Aktiv","Attiva","Активен","使用中","使用中"
"Usar","Usar","Use","Usar","Utiliser","Nutzen","Usa","Выбрать","使用","使用"
"Oferta de Fundador","Oferta de Fundador","Founder Offer","Oferta de fundador","Offre de fondateur","Gründer-Angebot","Offerta del Fondatore","Предложение основателя","ファウンダーオファー","创始者优惠"
"Começar já!","Começar já!","Start now!","¡Empezar ya!","Commencer !","Jetzt starten!","Inizia subito!","Начать сейчас!","今すぐ開始！","立即开始！"
"Termina em %d:%02d:%02d","Termina em %d:%02d:%02d","Ends in %d:%02d:%02d","Termina en %d:%02d:%02d","Se termine dans %d:%02d:%02d","Endet in %d:%02d:%02d","Termina tra %d:%02d:%02d","Заканчивается через %d:%02d:%02d","終了まで %d:%02d:%02d","%d:%02d:%02d 后结束"
"A verificar compras na Google Play...","A verificar compras na Google Play...","Checking purchases on Google Play...","Comprobando compras en Google Play...","Vérification des achats sur Google Play...","Prüfe Käufe bei Google Play...","Verifica acquisti su Google Play...","Проверка покупок в Google Play...","Google Playで購入を確認中...","正在 Google Play 验证购买…"
"Disponível apenas na versão Android.","Disponível apenas na versão Android.","Only available on the Android version.","Solo disponible en la versión Android.","Disponible uniquement sur la version Android.","Nur in der Android-Version verfügbar.","Disponibile solo nella versione Android.","Доступно только в версии для Android.","Android版でのみ利用可能。","仅限 Android 版本。"
"Nv %d · %s · %s","Nv %d · %s · %s","Lv %d · %s · %s","Nv %d · %s · %s","Nv %d · %s · %s","Stufe %d · %s · %s","Liv %d · %s · %s","Ур. %d · %s · %s","Lv %d · %s · %s","Lv %d · %s · %s"
"Nv 0 · %s · %s","Nv 0 · %s · %s","Lv 0 · %s · %s","Nv 0 · %s · %s","Nv 0 · %s · %s","Stufe 0 · %s · %s","Liv 0 · %s · %s","Ур. 0 · %s · %s","Lv 0 · %s · %s","Lv 0 · %s · %s"
"+20 Gemas","+20 Gemas","+20 Gems","+20 Gemas","+20 Gemmes","+20 Edelsteine","+20 Gemme","+20 гемов","+20 ジェム","+20 宝石"
"+20 Gemas!","+20 Gemas!","+20 Gems!","¡+20 Gemas!","+20 Gemmes !","+20 Edelsteine!","+20 Gemme!","+20 гемов!","+20 ジェム！","+20 宝石！"
"Prestige","Prestige","Prestige","Prestigio","Prestige","Prestige","Prestigio","Престиж","プレステージ","转生"
"+3%/nv velocidade","+3%/nv velocidade","+3%/lv speed","+3%/nv velocidad","+3%/nv vitesse","+3%/Stufe Tempo","+3%/liv velocità","+3%/ур. скорости","速度 +3%/Lv","+3%/级 速度"
"+0.25/nv carga","+0.25/nv carga","+0.25/lv cargo","+0.25/nv carga","+0.25/nv charge","+0.25/Stufe Ladung","+0.25/liv carico","+0.25/ур. груза","積載 +0.25/Lv","+0.25/级 货舱"
"+4%/nv valor","+4%/nv valor","+4%/lv value","+4%/nv valor","+4%/nv valeur","+4%/Stufe Wert","+4%/liv valore","+4%/ур. стоимости","価値 +4%/Lv","+4%/级 价值"
"+2.5%/nv eficiência de rota","+2.5%/nv eficiência de rota","+2.5%/lv route efficiency","+2.5%/nv eficiencia de ruta","+2.5%/nv efficacité de route","+2.5%/Stufe Routeneffizienz","+2.5%/liv efficienza di rotta","+2.5%/ур. эффективности маршрута","ルート効率 +2.5%/Lv","+2.5%/级 航线效率"
"+%.0f%% total","+%.0f%% total","+%.0f%% total","+%.0f%% total","+%.0f%% total","+%.0f%% gesamt","+%.0f%% totale","+%.0f%% всего","+%.0f%% 合計","+%.0f%% 总计"
"+%.0f%% lucros","+%.0f%% lucros","+%.0f%% profits","+%.0f%% ganancias","+%.0f%% profits","+%.0f%% Gewinn","+%.0f%% profitti","+%.0f%% к прибыли","+%.0f%% 利益","+%.0f%% 利润"
"+%.0f%% velocidade","+%.0f%% velocidade","+%.0f%% speed","+%.0f%% velocidad","+%.0f%% vitesse","+%.0f%% Tempo","+%.0f%% velocità","+%.0f%% к скорости","+%.0f%% 速度","+%.0f%% 速度"
"+%.0f%% valor","+%.0f%% valor","+%.0f%% value","+%.0f%% valor","+%.0f%% valeur","+%.0f%% Wert","+%.0f%% valore","+%.0f%% к стоимости","+%.0f%% 価値","+%.0f%% 价值"
"-%.0f%% custo drones","-%.0f%% custo drones","-%.0f%% drone cost","-%.0f%% coste drones","-%.0f%% coût drones","-%.0f%% Drohnenkosten","-%.0f%% costo droni","-%.0f%% к цене дронов","-%.0f%% ドローンコスト","-%.0f%% 无人机成本"
"+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestigio","+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestigio","+150 💎 + 1 ⬡ престиж","+150 💎 + 1 ⬡ プレステージ","+150 💎 + 1 ⬡ 转生"
"Gestor Automático","Gestor Automático","Auto Manager","Gestor automático","Gérant automatique","Auto-Manager","Manager Automatico","Авто-управляющий","オートマネージャー","自动经理"
"Gestor de Frota Automático","Gestor de Frota Automático","Automatic Fleet Manager","Gestor de flota automático","Gérant de flotte automatique","Automatischer Flottenmanager","Gestione Flotta Automatica","Автоматический управляющий флотом","自動艦隊マネージャー","自动机队经理"
"Compra sozinho a opção mais barata a cada poucos segundos. Exclusivo VIP.","Compra sozinho a opção mais barata a cada poucos segundos. Exclusivo VIP.","Automatically buys the cheapest option every few seconds. VIP exclusive.","Compra solo la opción más barata cada pocos segundos. Exclusivo VIP.","Achète tout seul l'option la moins chère toutes les quelques secondes. Exclusif VIP.","Kauft automatisch die günstigste Option alle paar Sekunden. VIP-exklusiv.","Compra da solo l'opzione più economica ogni pochi secondi. Esclusiva VIP.","Сам покупает самое дешёвое каждые несколько секунд. Только для VIP.","数秒ごとに最安の選択肢を自動購入。VIP限定。","每隔几秒自动购买最便宜的选项。VIP 专属。"
"VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP"
"pronto em %s","pronto em %s","ready in %s","listo en %s","prêt dans %s","bereit in %s","pronto tra %s","готово через %s","%s後に準備完了","%s 后就绪"
"Núcleo Ascendente","Núcleo Ascendente","Ascendant Core","Núcleo ascendente","Noyau ascendant","Aufsteigender Kern","Nucleo Ascendente","Восходящее ядро","アセンダントコア","飞升核心"
"Nv %d · +%d%% permanente · repetível","Nv %d · +%d%% permanente · repetível","Lv %d · +%d%% permanent · repeatable","Nv %d · +%d%% permanente · repetible","Nv %d · +%d%% permanent · répétable","Stufe %d · +%d%% dauerhaft · wiederholbar","Liv %d · +%d%% permanente · ripetibile","Ур. %d · +%d%% навсегда · повторяемо","Lv %d · +%d%% 永続 · 反復可能","Lv %d · +%d%% 永久 · 可重复"
"Bem-vindo, Piloto!","Bem-vindo, Mercador!","Welcome, Merchant!","¡Bienvenido, Mercader!","Bienvenue, Marchand !","Willkommen, Händler!","Benvenuto, Mercante!","Добро пожаловать, торговец!","ようこそ、商人！","欢迎，商人！"
"A tua frota de entregas está pronta a descolar.","A tua frota de entregas está pronta a descolar.","Your delivery fleet is ready for takeoff.","Tu flota de entregas está lista para despegar.","Votre flotte de livraison est prête à décoller.","Deine Lieferflotte ist startklar.","La tua flotta di consegne è pronta al decollo.","Твой флот доставки готов к взлёту.","配達艦隊は離陸準備完了。","你的送货机队已准备起飞。"
"Compra drones e melhorias","Compra drones e melhorias","Buy drones and upgrades","Compra drones y mejoras","Achetez des drones et des améliorations","Kaufe Drohnen und Upgrades","Compra droni e potenziamenti","Покупай дронов и улучшения","ドローンとアップグレードを購入","购买无人机和升级"
"Cada entrega gera créditos automaticamente.","Cada entrega gera créditos automaticamente.","Every delivery generates credits automatically.","Cada entrega genera créditos automáticamente.","Chaque livraison génère des crédits automatiquement.","Jede Lieferung erzeugt automatisch Credits.","Ogni consegna genera crediti automaticamente.","Каждая доставка приносит кредиты автоматически.","配達ごとに自動でクレジットを生成。","每次送达自动产生信用点。"
"Expande pelo mundo","Expande pelo mundo","Expand across the world","Expande por el mundo","Étendez-vous à travers le monde","Erweitere über die Welt","Espanditi per il mondo","Расширяйся по миру","世界へ展開","扩张至全世界"
"Abre cidades e países para multiplicar os lucros.","Abre cidades e países para multiplicar os lucros.","Open cities and countries to multiply your profits.","Abre ciudades y países para multiplicar tus ganancias.","Ouvrez des villes et des pays pour multiplier vos profits.","Öffne Städte und Länder, um den Gewinn zu vervielfachen.","Apri città e paesi per moltiplicare i profitti.","Открывай города и страны, чтобы умножать прибыль.","都市と国を開放して利益を倍増。","开设城市和国家，倍增你的利润。"
"Gemas só de anúncios e ofertas","Gemas só de anúncios e ofertas","Gems only from ads and offers","Gemas solo de anuncios y ofertas","Gemmes uniquement par pubs et offres","Edelsteine nur aus Werbung und Angeboten","Gemme solo da annunci e offerte","Гемы только за рекламу и офферы","ジェムは広告とオファーのみ","宝石仅来自广告和优惠"
"Vê anúncios ou compra-as — nunca se ganham a jogar.","Vê anúncios ou compra-as — nunca se ganham a jogar.","Watch ads or buy them — never earned by playing.","Mira anuncios o cómpralas — nunca se ganan jugando.","Regardez des pubs ou achetez-les — jamais gagnées en jouant.","Sieh Werbung oder kaufe sie — nie durch Spielen verdient.","Guarda annunci o comprale — mai ottenute giocando.","Смотри рекламу или покупай — их нельзя заработать в игре.","広告を見るか購入 — プレイでは獲得不可。","观看广告或购买——绝不通过游玩获得。"
"Faz Prestige para bónus permanentes","Faz Prestige para bónus permanentes","Prestige for permanent bonuses","Haz Prestigio para bonificaciones permanentes","Faites Prestige pour des bonus permanents","Mache Prestige für dauerhafte Boni","Fai Prestigio per bonus permanenti","Делай престиж ради постоянных бонусов","プレステージで永続ボーナス","转生以获得永久加成"
"Reinicia com multiplicadores que ficam para sempre.","Reinicia com multiplicadores que ficam para sempre.","Reset with multipliers that last forever.","Reinicia con multiplicadores que duran para siempre.","Réinitialisez avec des multiplicateurs qui restent pour toujours.","Neustart mit Multiplikatoren, die für immer bleiben.","Riparti con moltiplicatori che restano per sempre.","Перезапуск с множителями, которые остаются навсегда.","永久に残る倍率でリスタート。","重置并获得永久保留的乘数。"
"Vamos a voar!","Abrir o Basar!","Open the Bazaar!","¡Abrir el bazar!","Ouvrir le bazar !","Basar eröffnen!","Apri il bazar!","Открыть базар!","バザールを開く！","开启集市！"
"Receber a DOBRAR (anúncio)","Receber a DOBRAR (anúncio)","Claim DOUBLE (ad)","Recibir el DOBLE (anuncio)","Récolter en DOUBLE (pub)","DOPPELT holen (Werbung)","Riscuoti il DOPPIO (annuncio)","Забрать ВДВОЙНЕ (реклама)","2倍で受け取る（広告）","双倍领取（广告）"
"Mega Bónus em %d anúncio(s)!","Mega Bónus em %d anúncio(s)!","Mega Bonus in %d ad(s)!","¡Mega Bonus en %d anuncio(s)!","Méga bonus dans %d pub(s) !","Mega-Bonus in %d Werbung(en)!","Mega Bonus tra %d annuncio/i!","Мега-бонус через %d рекл.!","メガボーナスまであと %d 広告！","还需 %d 个广告获得超级奖励！"
"MEGA BÓNUS!","MEGA BÓNUS!","MEGA BONUS!","¡MEGA BONUS!","MÉGA BONUS !","MEGA-BONUS!","MEGA BONUS!","МЕГА-БОНУС!","メガボーナス！","超级奖励！"
"Viste %d anúncios. Obrigado!","Viste %d anúncios. Obrigado!","You watched %d ads. Thank you!","Has visto %d anuncios. ¡Gracias!","Vous avez vu %d pubs. Merci !","Du hast %d Werbungen gesehen. Danke!","Hai guardato %d annunci. Grazie!","Ты посмотрел %d рекламы. Спасибо!","%d 本の広告を視聴。ありがとう！","你观看了 %d 个广告。谢谢！"
"Fantástico!","Fantástico!","Awesome!","¡Fantástico!","Fantastique !","Fantastisch!","Fantastico!","Отлично!","素晴らしい！","太棒了！"
"Sair do jogo?","Sair do jogo?","Quit game?","¿Salir del juego?","Quitter le jeu ?","Spiel beenden?","Uscire dal gioco?","Выйти из игры?","ゲームを終了？","退出游戏？"
"Sair","Sair","Quit","Salir","Quitter","Beenden","Esci","Выйти","終了","退出"
"Resumo de Rendimento","Resumo de Rendimento","Income Summary","Resumen de ingresos","Résumé des revenus","Einkommens-Übersicht","Riepilogo Rendita","Сводка дохода","収益サマリー","收入摘要"
"Créditos: %s","Créditos: %s","Credits: %s","Créditos: %s","Crédits : %s","Credits: %s","Crediti: %s","Кредиты: %s","クレジット：%s","信用点：%s"
"Rendimento: %s/s","Rendimento: %s/s","Income: %s/s","Ingresos: %s/s","Revenu : %s/s","Einkommen: %s/s","Rendita: %s/s","Доход: %s/с","収益：%s/s","收入：%s/s"
"Multiplicadores","Multiplicadores","Multipliers","Multiplicadores","Multiplicateurs","Multiplikatoren","Moltiplicatori","Множители","倍率","乘数"
"Total ×%.2f","Total ×%.2f","Total ×%.2f","Total ×%.2f","Total ×%.2f","Gesamt ×%.2f","Totale ×%.2f","Всего ×%.2f","合計 ×%.2f","总计 ×%.2f"
"Bónus diário: %d anúncios → +%d gemas!","Bónus diário: %d anúncios → +%d gemas!","Daily bonus: %d ads → +%d gems!","Bonus diario: %d anuncios → ¡+%d gemas!","Bonus quotidien : %d pubs → +%d gemmes !","Täglicher Bonus: %d Werbungen → +%d Edelsteine!","Bonus giornaliero: %d annunci → +%d gemme!","Ежедневный бонус: %d рекламы → +%d гемов!","デイリーボーナス：%d 広告 → +%d ジェム！","每日奖励：%d 个广告 → +%d 宝石！"
"JACKPOT! +120 Gemas + 30 min!","JACKPOT! +120 Gemas + 30 min!","JACKPOT! +120 Gems + 30 min!","¡JACKPOT! ¡+120 Gemas + 30 min!","JACKPOT ! +120 Gemmes + 30 min !","JACKPOT! +120 Edelsteine + 30 Min!","JACKPOT! +120 Gemme + 30 min!","ДЖЕКПОТ! +120 гемов + 30 мин!","ジャックポット！+120 ジェム + 30分！","大奖！+120 宝石 + 30分钟！"
"Taxa: %s/s · limite offline %s","Taxa: %s/s · limite offline %s","Rate: %s/s · offline cap %s","Tasa: %s/s · límite sin conexión %s","Taux : %s/s · limite hors ligne %s","Rate: %s/s · Offline-Limit %s","Tasso: %s/s · limite offline %s","Ставка: %s/с · лимит офлайн %s","レート：%s/s · オフライン上限 %s","费率：%s/s · 离线上限 %s"
